"Year" "FID" "Sex" "AllCause"
"482" 1999 "CH04" "m" 1169.26312111831
"483" 1999 "CH05" "f" 722.13950054038
"484" 1999 "CH05" "m" 1194.4192814694
"485" 1999 "CH06" "f" 722.919356266821
"486" 1999 "CH06" "m" 1150.62290890039
"487" 1999 "CH07" "f" 615.652220841835
"488" 1999 "CH07" "m" 1131.48420750612
"489" 1999 "CZ01" "f" 1052.80231429637
"490" 1999 "CZ01" "m" 1587.21339624598
"491" 1999 "CZ02" "f" 1213.46098727633
"492" 1999 "CZ02" "m" 1882.73544475878
"493" 1999 "CZ03" "f" 1162.09420874038
"494" 1999 "CZ03" "m" 1776.39236617443
"495" 1999 "CZ04" "f" 1292.73674685273
"496" 1999 "CZ04" "m" 2025.542660431
"497" 1999 "CZ05" "f" 1118.00306715883
"498" 1999 "CZ05" "m" 1773.1888382699
"499" 1999 "CZ06" "f" 1069.51747676159
"500" 1999 "CZ06" "m" 1735.88433146232
"501" 1999 "CZ07" "f" 1086.98515001631
"502" 1999 "CZ07" "m" 1822.06699631089
"503" 1999 "CZ08" "f" 1157.44252301806
"504" 1999 "CZ08" "m" 1955.09034615283
"505" 1999 "DE1001" "f" 931.114615985224
"506" 1999 "DE1001" "m" 1506.29248853132
"507" 1999 "DE101" "f" 863.094024290385
"508" 1999 "DE101" "m" 1376.29508910176
"509" 1999 "DE102" "f" 853.936766530281
"510" 1999 "DE102" "m" 1358.1150700816
"511" 1999 "DE103" "f" 812.149277200952
"512" 1999 "DE103" "m" 1342.18720209826
"513" 1999 "DE104" "f" 863.881228016403
"514" 1999 "DE104" "m" 1319.56343141479
"515" 1999 "DE105" "f" 859.023907072925
"516" 1999 "DE105" "m" 1461.40101783148
"517" 1999 "DE1101" "f" 886.639195871127
"518" 1999 "DE1101" "m" 1418.94087375384
"519" 1999 "DE1201" "f" 876.614693018925
"520" 1999 "DE1201" "m" 1445.41850834081
"521" 1999 "DE1202" "f" 890.218112261384
"522" 1999 "DE1202" "m" 1530.13612089658
"523" 1999 "DE1203" "f" 912.386123664677
"524" 1999 "DE1203" "m" 1480.79006990149
"525" 1999 "DE1204" "f" 930.187816356706
"526" 1999 "DE1204" "m" 1502.70574099458
"527" 1999 "DE1205" "f" 909.772160934019
"528" 1999 "DE1205" "m" 1532.2867466833
"529" 1999 "DE1301" "f" 897.868980577226
"530" 1999 "DE1301" "m" 1658.97318710161
"531" 1999 "DE1302" "f" 876.757907349787
"532" 1999 "DE1302" "m" 1463.82102519452
"533" 1999 "DE1303" "f" 931.738584202828
"534" 1999 "DE1303" "m" 1630.11435496311
"535" 1999 "DE1304" "f" 910.114517952469
"536" 1999 "DE1304" "m" 1596.00846019596
"537" 1999 "DE1401" "f" 769.845863385267
"538" 1999 "DE1401" "m" 1301.5789847979
"539" 1999 "DE1402" "f" 848.439956281806
"540" 1999 "DE1402" "m" 1426.96487323774
"541" 1999 "DE1403" "f" 874.436812954864
"542" 1999 "DE1403" "m" 1451.26869483899
"543" 1999 "DE1404" "f" 864.458356474094
"544" 1999 "DE1404" "m" 1444.2444336004
"545" 1999 "DE1501" "f" 945.765313576514
"546" 1999 "DE1501" "m" 1552.79030600548
"547" 1999 "DE1502" "f" 935.055613420547
"548" 1999 "DE1502" "m" 1582.20508839129
"549" 1999 "DE1503" "f" 930.920005107883
"550" 1999 "DE1503" "m" 1570.00252843435
"551" 1999 "DE1504" "f" 929.682474828997
"552" 1999 "DE1504" "m" 1565.29677064814
"553" 1999 "DE1601" "f" 928.641262337388
"554" 1999 "DE1601" "m" 1500.49459373641
"555" 1999 "DE1602" "f" 932.942952778044
"556" 1999 "DE1602" "m" 1530.72517579905
"557" 1999 "DE1603" "f" 863.513714867826
"558" 1999 "DE1603" "m" 1464.44831967966
"559" 1999 "DE1604" "f" 955.772980113638
"560" 1999 "DE1604" "m" 1542.21399287855
"561" 1999 "DE201" "f" 836.505464513338
"562" 1999 "DE201" "m" 1352.05062805469
"563" 1999 "DE301" "f" 846.846129346397
"564" 1999 "DE301" "m" 1412.45020868163
"565" 1999 "DE302" "f" 858.911626991989
"566" 1999 "DE302" "m" 1393.21786519352
"567" 1999 "DE303" "f" 882.397793926836
"568" 1999 "DE303" "m" 1427.84958858748
"569" 1999 "DE304" "f" 835.669032453517
"570" 1999 "DE304" "m" 1388.88334848992
"571" 1999 "DE305" "f" 831.469051099336
"572" 1999 "DE305" "m" 1362.10723654257
"573" 1999 "DE306" "f" 814.13186444527
"574" 1999 "DE306" "m" 1367.0117809392
"575" 1999 "DE307" "f" 834.524453991674
"576" 1999 "DE307" "m" 1344.58820867563
"577" 1999 "DE308" "f" 849.540769664596
