"FID" "Cancer_1996" "CVD_1996" "External_1996" "LungC_1996" "Rest_1996" "Cancer_2017" "CVD_2017" "External_2017" "LungC_2017" "Rest_2017" "AllCn96" "AllCn17"
"65" "DE312" 84.899073977476 245.244272794746 60.2468148905529 92.4753624646273 144.032789904715 65.82877455223 138.546085865811 38.3304383360783 51.9290135444144 88.876652703511 177.374436442103 117.757788096644
"66" "DE313" 84.329953666037 254.812920741347 64.1930607377806 76.0353342221626 143.142134451146 66.730427942937 138.851533238873 40.2445571735412 28.41273430475 78.518197244445 160.3652878882 95.143162247687
"67" "DE401" 82.088392153617 270.182108675007 73.6963837700171 85.8764540611292 133.963875607992 68.87169927797 135.486177920612 48.3982999935148 39.6216606605092 72.664683158979 167.964846214746 108.493359938479
"68" "DE501" 77.081805888514 278.492099913068 41.0730371202109 103.438872359905 132.740983755307 61.214011397827 91.417633426424 32.6886095308077 47.2304155250423 82.668899206746 180.520678248419 108.444426922869
"69" "DE502" 89.094028798311 286.693269924657 41.7954440724066 93.9255835573557 115.912694714409 65.519963764863 94.56472848499 43.2127895940927 38.7826124380561 93.823942832279 183.019612355667 104.302576202919
"70" "DE503" 94.241224135186 255.419259006223 52.4254666717018 84.0219664893468 114.941879247623 63.644870790633 105.560998945883 40.5171703954278 43.9464844246859 85.192420702479 178.263190624533 107.591355215319
"71" "DE504" 95.50738771402 294.604883064214 40.6979940492217 108.572286397843 140.4727735824 82.426873353472 121.189180774081 38.3001158551538 46.4264874710193 96.539453142289 204.079674111863 128.853360824491
"72" "DE505" 66.802931595138 219.678927253521 34.7061526257176 76.7598623611133 101.911940569972 58.398873603345 73.795185622919 32.9806909741554 40.3681062516283 75.536088773205 143.562793956251 98.7669798549733
"73" "DE506" 110.417466683366 291.29239959608 39.6346530245307 107.944620571174 137.690015273566 88.606848812365 111.52024145583 34.036170032072 45.4470862748975 90.576887957848 218.36208725454 134.053935087262
"74" "DE507" 88.934038500125 282.440569501472 42.3077026322119 118.903902398933 131.219520305425 75.626784766222 104.699142530752 38.1285022971183 49.2347835897122 93.2179973204 207.837940899058 124.861568355934
"75" "DE508" 85.506784876517 274.5960496601 40.2331970245703 100.673800409073 115.527667511922 71.196140911524 98.997191147029 30.8300930856585 40.0226010356256 82.458625144079 186.18058528559 111.21874194715
"76" "DE509" 108.22808509856 286.189636349488 40.0540419154184 116.423066518401 156.443569970293 79.974227119137 111.439979063908 39.5579066193598 57.3090314023926 107.078125289639 224.651151616961 137.28325852153
"77" "DE510" 83.369594795426 242.48311156735 39.7498965352479 92.4804761899212 106.682017954771 66.878336052378 93.649049325732 34.4412664731577 39.1492555354812 74.102846185985 175.850070985347 106.027591587859
"78" "DE511" 81.453354190079 263.000789332523 41.681125265645 93.6877841526385 112.941690121648 60.809506008316 89.196708711161 33.1091856874265 44.8875050113676 79.68952781201 175.141138342717 105.697011019684
"79" "DE512" 101.245184046368 288.88883028168 47.9985093596987 91.5629696590885 114.277444645511 69.138143614874 111.613291963039 39.1391666701311 45.9328673475761 87.756283573227 192.808153705457 115.07101096245
"80" "DE513" 67.492828935071 282.158424066955 39.0925207698996 102.125276076342 126.528486849332 75.251347535043 107.714018985651 28.0738966532947 39.0704986393072 74.089746239344 169.618105011413 114.32184617435
"81" "DE601" 85.813216476915 220.159437797552 50.2778541046829 79.1675413836745 123.748198551282 62.890280170118 110.495367179281 41.6412119015238 34.8497485724084 82.938425502898 164.98075786059 97.7400287425264
"82" "DE602" 94.378154596093 254.396682333198 57.8959638038068 83.9781242155042 141.082637415168 64.233073210154 127.292483397286 42.6564728291199 35.7542786334253 86.112176935146 178.356278811597 99.9873518435793
"83" "DE603" 90.15955439728 201.301831598805 51.5573243110303 61.4353064720505 111.40120803015 57.495314846751 109.799997603581 39.3110704403285 30.504448670354 72.190291404405 151.59486086933 87.999763517105
"84" "DE604" 95.156563321699 216.692250748117 40.8315290314526 69.4300389299973 106.704418242751 60.152808792509 94.719999100155 34.1254873583659 27.8412815646801 67.912691431443 164.586602251696 87.9940903571891
"85" "DE605" 83.254794270986 200.384167760579 46.3466572846994 76.484309001414 116.935062088227 51.587922186014 99.379468263464 32.2337588188715 29.6404902909431 71.321471411964 159.7391032724 81.2284124769571
"86" "DE701" 88.402813723299 241.707540020428 44.8272303260062 91.6852563311826 118.936779192732 62.059461465056 113.178298813862 34.5902666746762 35.9863113354163 76.739781320784 180.088070054482 98.0457728004723
"87" "DE702" 83.716680383364 222.438183181455 49.9457160283202 84.0932147699113 111.425470858149 58.936830419256 105.492223262146 37.2544602227984 30.4326829637117 72.094302550141 167.809895153275 89.3695133829677
"88" "DE703" 111.09236909556 212.929337268644 56.2208236006662 83.3938332868096 125.499485841789 61.895830011345 112.883842315677 36.1437282416752 35.4448622466081 79.542947836934 194.48620238237 97.3406922579531
"89" "DE704" 96.155325738817 236.454200327091 49.931619151611 88.1373175064801 139.208590160437 58.386328260838 108.260743450643 36.8148298375233 37.7200390095764 72.904067017604 184.292643245297 96.1063672704144
"90" "DE705" 87.827416798759 249.249857888169 56.9697700538886 91.9813095044905 145.5613263575 62.794788980239 102.504544812391 39.4720110202497 34.605726208773 87.172135052371 179.80872630325 97.400515189012
"91" "DE801" 76.420174447804 233.24908803899 49.1728066640562 60.5060102416974 113.005181325847 44.727856536361 82.210315513467 46.2727728623669 27.1105478513402 66.433025359372 136.926184689501 71.8384043877012
