"Cause" "Contr" "FID" "Country"
"292" "CVD" 63.4950452168031 "DE1601" "DE"
"293" "External" 6.01611705189584 "DE1601" "DE"
"294" "Rest" 16.0045248622796 "DE1601" "DE"
"295" "Sum" 100 "DE1601" "DE"
"296" "LungC" 17.9444279055954 "DE1602" "DE"
"297" "Cancer" 5.20054679099601 "DE1602" "DE"
"298" "CVD" 60.3657118851777 "DE1602" "DE"
"299" "External" 7.80803732843167 "DE1602" "DE"
"300" "Rest" 8.68127608979916 "DE1602" "DE"
"301" "Sum" 99.9999999999999 "DE1602" "DE"
"302" "LungC" 16.9845872339407 "DE1603" "DE"
"303" "Cancer" 1.66375190790063 "DE1603" "DE"
"304" "CVD" 61.8225569110963 "DE1603" "DE"
"305" "External" 7.39717323532709 "DE1603" "DE"
"306" "Rest" 12.1319307117352 "DE1603" "DE"
"307" "Sum" 99.9999999999999 "DE1603" "DE"
"308" "LungC" 16.084148279117 "DE1604" "DE"
"309" "Cancer" -2.16594086048559 "DE1604" "DE"
"310" "CVD" 75.7165292621924 "DE1604" "DE"
"311" "External" 6.19144969681985 "DE1604" "DE"
"312" "Rest" 4.17381362235644 "DE1604" "DE"
"313" "Sum" 100 "DE1604" "DE"
"314" "LungC" 18.8185520148945 "DE201" "DE"
"315" "Cancer" 5.67824317988819 "DE201" "DE"
"316" "CVD" 45.9735654761948 "DE201" "DE"
"317" "External" 6.98717172966687 "DE201" "DE"
"318" "Rest" 22.5424675993556 "DE201" "DE"
"319" "Sum" 100 "DE201" "DE"
"320" "LungC" 13.4390941871801 "DE301" "DE"
"321" "Cancer" 4.66962521380479 "DE301" "DE"
"322" "CVD" 54.351456274758 "DE301" "DE"
"323" "External" 6.28008614981153 "DE301" "DE"
"324" "Rest" 21.2597381744455 "DE301" "DE"
"325" "Sum" 100 "DE301" "DE"
"326" "LungC" 17.6669931007452 "DE302" "DE"
"327" "Cancer" 6.31009332307626 "DE302" "DE"
"328" "CVD" 52.8792880813638 "DE302" "DE"
"329" "External" 6.17275826019403 "DE302" "DE"
"330" "Rest" 16.9708672346207 "DE302" "DE"
"331" "Sum" 100 "DE302" "DE"
"332" "LungC" 16.9252859615494 "DE303" "DE"
"333" "Cancer" 7.19876306674275 "DE303" "DE"
"334" "CVD" 49.9762495787266 "DE303" "DE"
"335" "External" 7.67411510570231 "DE303" "DE"
"336" "Rest" 18.2255862872789 "DE303" "DE"
"337" "Sum" 100 "DE303" "DE"
"338" "LungC" 15.2851855686899 "DE304" "DE"
"339" "Cancer" 9.97155798838937 "DE304" "DE"
"340" "CVD" 47.1698383630484 "DE304" "DE"
"341" "External" 5.43618953203816 "DE304" "DE"
"342" "Rest" 22.137228547834 "DE304" "DE"
"343" "Sum" 99.9999999999999 "DE304" "DE"
"344" "LungC" 14.9754434493851 "DE305" "DE"
"345" "Cancer" 9.23663025510931 "DE305" "DE"
"346" "CVD" 51.1927967094295 "DE305" "DE"
"347" "External" 7.89445779526189 "DE305" "DE"
"348" "Rest" 16.7006717908142 "DE305" "DE"
"349" "Sum" 100 "DE305" "DE"
"350" "LungC" 11.4721536989951 "DE306" "DE"
"351" "Cancer" 13.7490129375615 "DE306" "DE"
"352" "CVD" 49.3182977800892 "DE306" "DE"
"353" "External" 8.06070184225168 "DE306" "DE"
"354" "Rest" 17.3998337411025 "DE306" "DE"
"355" "Sum" 100 "DE306" "DE"
"356" "LungC" 15.1131654033464 "DE307" "DE"
"357" "Cancer" 8.06828764476354 "DE307" "DE"
"358" "CVD" 49.8325698918106 "DE307" "DE"
"359" "External" 7.14943938621803 "DE307" "DE"
"360" "Rest" 19.8365376738614 "DE307" "DE"
"361" "Sum" 99.9999999999999 "DE307" "DE"
"362" "LungC" 17.2532579307777 "DE308" "DE"
"363" "Cancer" 6.67939892745763 "DE308" "DE"
"364" "CVD" 51.475426351794 "DE308" "DE"
"365" "External" 5.43463237407855 "DE308" "DE"
"366" "Rest" 19.1572844158921 "DE308" "DE"
"367" "Sum" 100 "DE308" "DE"
"368" "LungC" 18.6889742749023 "DE309" "DE"
"369" "Cancer" 4.8887506012683 "DE309" "DE"
"370" "CVD" 57.6844789302508 "DE309" "DE"
"371" "External" 6.54869374572112 "DE309" "DE"
"372" "Rest" 12.1891024478576 "DE309" "DE"
"373" "Sum" 100 "DE309" "DE"
